amfi_code,scheme_name,CAGR_3Y,Sharpe_Ratio,alpha,expense_ratio_pct,max_drawdown_pct,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,overall_rank
119093,Axis Bluechip Fund - Direct - Growth,20.816771175535862,0.1296144979566932,0.0823280129522209,0.75,-21.751396370148225,62.5,30.0,32.5,82.5,25.0,47.625,23
102887,UTI Flexi Cap Fund - Regular - Growth,25.556187904126524,0.6195175900829828,0.1621125679403325,1.64,-21.539827112383225,70.0,47.5,50.0,3.75,27.500000000000004,46.1875,24
149322,DSP Top 100 Equity Fund - Regular - Growth,18.04420648663614,0.4640374492204777,0.1317319022609943,1.54,-14.844576917771748,50.0,40.0,42.5,26.25,62.5,43.6875,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.245222866621418,0.3006119210425478,0.1198910097121797,0.78,-21.11727956013212,37.5,35.0,37.5,77.5,30.0,42.125,26
120844,Kotak Liquid Fund - Regular - Growth,6.695971624586994,-0.0887472962155728,0.0645567749537599,0.6,-0.1162932795616855,27.500000000000004,17.5,22.5,95.0,97.5,41.125,27
120841,Kotak Bluechip Fund - Regular - Growth,17.26727508371786,0.4942725378672349,0.1304292445070544,1.59,-17.57361416468729,47.5,42.5,40.0,15.0,42.5,39.375,28
118634,Nippon India Small Cap Fund - Regular - Growth,8.007927728656083,0.4484340089089912,0.1750072167561127,1.53,-23.34488614483311,35.0,37.5,57.49999999999999,31.25,22.5,38.3125,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.062205023777143,-0.3566295075143678,0.050747729999761,0.55,-8.316361763638703,20.0,7.5,15.0,100.0,87.5,34.625,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.840358798463097,-0.2265753866279157,0.0562089521663836,0.77,-4.328728923970093,22.5,10.0,17.5,80.0,90.0,33.75,31
101208,ABSL Liquid Fund - Regular - Growth,6.315784491375509,-0.8155673679088263,0.0608614579578711,0.79,-0.1622498024471785,25.0,2.5,20.0,75.0,95.0,32.875,32
100025,HDFC Short Term Debt Fund - Regular - Growth,3.9163899571040384,-0.5670947928476846,0.0428179203150608,0.56,-4.308263824636349,17.5,5.0,7.5,97.5,92.5,31.875,33
120842,Kotak Emerging Equity Fund - Regular - Growth,7.756003551327284,0.0759998480465892,0.0780443887615508,1.56,-24.00351132627489,32.5,27.500000000000004,30.0,20.0,20.0,27.625,34
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.337386614488112,-0.0571866258281799,0.0488242159455398,0.72,-52.57422117012851,7.5,22.5,12.5,88.75,2.5,23.9375,35
119092,Axis Bluechip Fund - Regular - Growth,0.5258871209757432,0.0307848509545859,0.0689952982167755,1.64,-14.40161790933726,12.5,25.0,27.500000000000004,3.75,65.0,22.5625,36
101207,ABSL Small Cap Fund - Regular - Growth,-4.152381044854481,0.1626607692864677,0.1089709190170453,1.53,-35.44691649336603,5.0,32.5,35.0,31.25,7.5,22.0625,37
119095,Axis Small Cap Fund - Regular - Growth,-11.705806723995272,-0.0759735711747892,0.0480159536377595,1.38,-51.677753708526566,2.5,20.0,10.0,60.0,5.0,17.25,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.292649342495622,-0.2015170675596693,0.0374758076344328,1.55,-24.734440880673304,15.0,15.0,5.0,22.5,17.5,14.375,39
102886,UTI Mid Cap Fund - Regular - Growth,-0.7674063178547241,-0.205831607854703,0.0289693978663794,1.51,-28.00112356639287,10.0,12.5,2.5,41.25,15.0,14.3125,40
